criterion_id,domain_id,criterion_name_ar,review_level,criterion_type,required_inputs,activation_rule,not_reviewable_rule,not_applicable_rule,review_question,evidence_expected,comparison_objects,status_options,default_severity_if_failed,human_confirmation,source_ids,source_strength,report_message_template,recommendation_template,limitations
C016,D1,"خلو الهدف من نشاط بديل عن هدف",أساسي,structural,"plan","goal_text!=null","goal_text=null","","هل الجملة هدف تعليمي وليست وصف نشاط؟","نص الهدف","تعريف الهدف مقابل النشاط","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"العبارة المدرجة نشاط لا هدف.","حوّل النشاط إلى هدف يصف تغيرًا في سلوك المتعلم.",""
C020,D2,"ربط الهدف بحاجة موثقة",أساسي,evidence_link,"plan,assessment","assessment!=null && goal_text!=null","assessment=null","assessment=null","هل الهدف مرتبط بحاجة مذكورة في التقييم؟","اقتباس من التقييم","نص الهدف مقابل بند الحاجة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-CF-01,secondary_synthesis,"لا يوجد ربط موثق بين الهدف وحاجة في التقييم.","اربط الهدف بالحاجة المصدر أو ألغِ الهدف.","الاستخراج بمساعدة AI ويتطلب تأكيدًا بشريًا."
C021,D2,"خط الأساس كمي",أساسي,evidence_link,"plan","baseline!=null","baseline=null","","هل خط الأساس مذكور كميًا يمكن القياس منه؟","نص خط الأساس","معايير خط الأساس","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"خط الأساس غير كمي أو غير مذكور.","حدد خط الأساس كميًا (نسبة/تكرار/زمن).",""
C022,D2,"الحاجة مدعومة بمصدر تقييمي متعدد",تحسين جودة,evidence_link,"assessment","sources_count>=2","assessment=null","assessment=null","هل الحاجة مدعومة بأكثر من مصدر؟","قائمة المصادر","عدد المصادر لكل حاجة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-CF-01,secondary_synthesis,"الحاجة مستندة إلى مصدر وحيد.","أضف مصدرًا مستقلًا يدعم الحاجة.",""
C023,D2,"اتساق وحدة القياس",أساسي,consistency,"plan","baseline!=null && goal_text!=null","baseline=null","","هل وحدة قياس خط الأساس هي نفسها وحدة قياس الهدف؟","نص الهدف وخط الأساس","تطابق الوحدة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"وحدة قياس الهدف تختلف عن وحدة خط الأساس.","وحّد وحدة القياس بين خط الأساس والهدف.",""
C024,D2,"الحاجة صريحة لا مستنتجة",تحسين جودة,evidence_link,"assessment","assessment!=null","assessment=null","assessment=null","هل الحاجة مذكورة صراحة في التقييم أم استنتاج؟","نص التقييم","صياغة الحاجة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-CF-01,secondary_synthesis,"الحاجة استنتاجية وليست مصرحًا بها.","حدد الحاجة صراحةً في توليف التقييم.",""
C030,D3,"القيمة التعليمية أو الوظيفية",أساسي,value,"plan","goal_text!=null","goal_text=null","","هل للهدف قيمة توليدية أو وظيفية للمتعلم؟","نص الهدف","معايير القيمة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"قيمة الهدف التعليمية/الوظيفية غير واضحة.","بيّن الأثر الوظيفي أو التوليدي للهدف.",""
C031,D3,"الجدوى ضمن الأفق الزمني",أساسي,feasibility,"plan","goal_text!=null && baseline!=null","baseline=null","","هل الفجوة بين خط الأساس والهدف قابلة للتحقيق في المدة؟","خط الأساس والهدف","معدلات نمو متوقعة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"الفجوة بين خط الأساس والهدف قد لا تكون قابلة للتحقيق في المدة.","أعد ضبط المستوى أو المدة.","التقدير تقريبي ويستوجب رأيًا مهنيًا."
C032,D3,"عدم كون الهدف طاعة سلوكية",أساسي,value,"plan","goal_text!=null","goal_text=null","","هل الهدف يتجاوز مجرد الطاعة أو الإذعان؟","نص الهدف","معايير القيمة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"الهدف يقتصر على الطاعة/الإذعان دون قيمة تعليمية.","أعد صياغة الهدف نحو مهارة ذات قيمة توليدية.","الحكم مشترك مع المشرف."
C033,D3,"تناسب الهدف مع أولويات الأسرة",تحسين جودة,priority_alignment,"family_priorities","family_priorities!=null","family_priorities=null","family_priorities=null","هل الهدف يتسق مع أولوية أسرية موثقة؟","أولويات الأسرة","نص الهدف","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-03,internal,"لا يظهر أثر لأولويات الأسرة في الأهداف.","أدرج على الأقل هدفًا واحدًا يتسق مع أولوية أسرية أو وثّق سبب الاستبعاد.",""
C034,D3,"تناسب الهدف مع تفضيل المتعلم",تحسين جودة,priority_alignment,"student_preference","student_preference!=null","student_preference=null","student_preference=null","هل تفضيل المتعلم منعكس في الأهداف عند مرحلته؟","تفضيل المتعلم","نص الهدف","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",منخفض,إلزامي,SRC-INT-03,internal,"تفضيل المتعلم غير منعكس في الأهداف.","أضف مساحة لتفضيل المتعلم عند مرحلته العمرية.",""
C040,D4,"توثيق الدعم والتسهيلات",أساسي,support,"supports","supports!=null","supports=null","supports=null","هل الدعم والتسهيلات مذكورة بوضوح؟","قائمة الدعم","نص الهدف","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"الدعم والتسهيلات غير موثقة.","وثّق الدعم/التسهيلات المرتبطة بكل هدف.",""
C041,D4,"اتساق الدعم مع الهدف",أساسي,support,"supports,plan","supports!=null && goal_text!=null","supports=null","supports=null","هل الدعم المذكور يخدم الهدف فعلًا؟","الدعم والهدف","تحليل التوافق","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"الدعم المذكور غير متسق مع طبيعة الهدف.","راجع الدعم بما يتوافق مع الهدف.",""
C042,D4,"خلو من تعارض الدعم",أساسي,support,"supports","supports!=null","supports=null","supports=null","هل توجد تعارضات بين وسائل الدعم (مثل AAC وطلب لفظي)؟","قائمة الدعم","قواعد التعارض","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"تعارض محتمل بين وسائل الدعم.","حل التعارض قبل اعتماد الخطة.","حالات AAC تستوجب رأي أخصائي."
C043,D4,"بروتوكول للملاحظة السلوكية",أساسي,support,"professional_notes","note_type=behavior","professional_notes=null","professional_notes=null","هل الملاحظة السلوكية مصحوبة ببروتوكول؟","الملاحظة","بروتوكول متوقع","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"ملاحظة سلوكية دون بروتوكول تدخل.","أضف بروتوكولًا معتمدًا أو استبعد الملاحظة من قاعدة القرار.",""
C050,D5,"توثيق أولوية أسرية",أساسي,voice,"family_priorities","family_priorities!=null","family_priorities=null","family_priorities=null","هل أولوية الأسرة موثقة في الحالة؟","نص الأولوية","حقل الأولويات","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-03,internal,"أولوية الأسرة غير موثقة.","سجّل أولوية الأسرة صراحة.",""
C051,D5,"توثيق صوت المتعلم",تحسين جودة,voice,"student_preference","student_preference!=null && age>=middle","student_preference=null","age<middle","هل صوت المتعلم موثق عند مرحلته؟","نص التفضيل","حقل تفضيل المتعلم","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-03,internal,"صوت المتعلم غير موثق.","وثّق تفضيل المتعلم بأسلوب مناسب لمرحلته.",""
C052,D5,"الملاءمة الثقافية واللغوية",أساسي,context,"plan","goal_text!=null","goal_text=null","","هل الهدف والدعم ملائمان ثقافيًا ولغويًا؟","نص الهدف/الدعم","سياق المتعلم","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"ملاءمة ثقافية/لغوية غير مبرهنة.","راجع الملاءمة الثقافية للهدف والدعم.",""
C053,D5,"خلو من تحيّز في وصف السلوك",تحسين جودة,equity,"plan","goal_text!=null","goal_text=null","","هل وصف السلوك خال من التوصيف التحيّزي؟","نص الهدف","قائمة الحساسية","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"توصيف السلوك قد يحمل تحيزًا.","أعد صياغة الوصف بحياد سلوكي.",""
C060,D6,"المواءمة العمرية للهدف",أساسي,age_alignment,"age,plan","age!=null && goal_text!=null","age=null","","هل الهدف يتسق مع أولوية التفكير للمرحلة؟","العمر/المرحلة والهدف","جدول U/A/C/P","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-04,internal,"الهدف قد لا يتسق مع أولوية التفكير للمرحلة.","راجع مواءمة الهدف مع مرحلة المتعلم.","العمر لا يولّد هدفًا."
C061,D6,"تجنّب هدف طفولي لمراهق",أساسي,age_alignment,"age,plan","age>=adolescent && goal_text!=null","age=null","","هل الهدف مناسب لعمر المراهقة/الرشد؟","الهدف","مآلات المرحلة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-INT-04,internal,"الهدف يبدو طفوليًا مقارنة بعمر المتعلم.","اربط الهدف بمآلات المرحلة (تقرير مصير/انتقال).",""
C062,D6,"حضور مآلات الانتقال",أساسي,transition,"age,plan","age>=high_school","age=null","age<high_school","هل الخطة تتضمن مآلات انتقالية عند مرحلة الثانوية فأعلى؟","نص الخطة","مآلات الانتقال","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-INT-04,internal,"مآلات الانتقال غير حاضرة.","أضف مآلات انتقال (تعليم/عمل/عيش مستقل/مجتمع).",""
C063,D6,"ملاءمة أهداف التدخل المبكر لنمط أسري روتيني",أساسي,phase_fit,"age,plan","age<=preschool","age=null","age>preschool","هل أهداف التدخل المبكر مضمّنة في روتين أسري؟","نص الهدف","إطار روتينات EI","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-04,internal,"أهداف التدخل المبكر خارج روتين الأسرة.","صغ الأهداف داخل روتينات الأسرة اليومية.",""
C070,D7,"خلو من تكرار داخل الخطة",أساسي,relationship,"plan","goals_count>=2","goals_count<2","","هل توجد أهداف مكررة داخل الخطة؟","قائمة الأهداف","قواعد التكرار","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"توجد أهداف مكررة داخل الخطة.","ادمج الأهداف المكررة.",""
C071,D7,"خلو من تكرار مع خطة سابقة",تحسين جودة,relationship,"plan,prior_plan","prior_plan!=null","prior_plan=null","prior_plan=null","هل الهدف مكرر حرفيًا من خطة سابقة دون مبرر؟","الخطة الحالية والسابقة","تحليل التكرار","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"الهدف مكرر من خطة سابقة دون تحديث.","حدّث الهدف أو وثّق مبرر التكرار.",""
C072,D7,"خلو من تعارض بين الأهداف",أساسي,relationship,"plan","goals_count>=2","goals_count<2","","هل توجد أهداف متعارضة (مثل AAC مقابل نطق فقط)؟","قائمة الأهداف","قواعد التعارض","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"تعارض بين هدفين أو أكثر.","حل التعارض قبل الاعتماد.",""
C073,D7,"التدرج المهاري",تحسين جودة,relationship,"plan","goals_count>=2","goals_count<2","","هل الأهداف تتدرج (builds_on/prepares_for)؟","علاقات الأهداف","نموذج التدرج","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",منخفض,إلزامي,SRC-QF-01,secondary_synthesis,"الأهداف تبدو معزولة دون تدرج.","راجع علاقات الأهداف وحدد التدرجات.","لا يفرض تسلسلًا خطيًا صارمًا."
C074,D7,"خلو من قفزة مهارية غير مبررة",أساسي,relationship,"plan,assessment","assessment!=null","assessment=null","","هل الهدف يفترض مهارات وسيطة غير مكتسبة؟","خط الأساس والهدف","سلم المهارات","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-CF-01,secondary_synthesis,"الهدف يفترض قفزة مهارية غير مبررة.","أدرج هدفًا وسيطًا أو وثّق سبب القفزة.",""
C075,D7,"التعميم عبر السياقات",تحسين جودة,relationship,"plan","goal_text!=null","goal_text=null","","هل توجد خطة لتعميم المهارة عبر الأشخاص/الأماكن؟","نص الهدف/الدعم","نموذج التعميم","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",منخفض,إلزامي,SRC-QF-01,secondary_synthesis,"لا يظهر مسار للتعميم.","أضف بند تعميم عبر شخصين/مكانين على الأقل.",""
C076,D7,"الصيانة بعد الإتقان",تحسين جودة,relationship,"plan","goal_text!=null","goal_text=null","","هل توجد خطة لصيانة المهارة بعد الإتقان؟","نص الهدف","نموذج الصيانة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",منخفض,إلزامي,SRC-QF-01,secondary_synthesis,"خطة الصيانة غير مذكورة.","أضف بند صيانة (فحص دوري بعد الإتقان).",""
C080,D8,"مواصفة قياس قابلة للتشغيل",أساسي,monitoring,"plan","goal_text!=null","goal_text=null","","هل مواصفة القياس تسمح بجمع بيانات فعلية؟","مواصفة القياس","معايير الجاهزية","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"مواصفة القياس غير قابلة للتشغيل.","حدد الأداة والدورية والملاحظ لمواصفة القياس.",""
C081,D8,"تواتر القياس محدد",أساسي,monitoring,"plan","goal_text!=null","goal_text=null","","هل تواتر القياس محدد؟","مواصفة القياس","معايير التواتر","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"تواتر القياس غير محدد.","حدد دورية القياس (أسبوعية/شهرية...).",""
C082,D8,"قاعدة قرار للتقدم",أساسي,monitoring,"plan","goal_text!=null","goal_text=null","","هل قاعدة القرار لتعديل التدريس محددة؟","مواصفة القياس","نماذج قواعد القرار","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"قاعدة قرار التقدم غير محددة.","أضف قاعدة قرار (مثال: 3 نقاط تحت الخط ⇒ تعديل).",""
C083,D8,"اتساق مواصفة القياس مع الهدف",أساسي,monitoring,"plan","goal_text!=null","goal_text=null","","هل ما ستقيسه المواصفة هو ما ينص عليه الهدف؟","الهدف ومواصفة القياس","تحليل التطابق","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"مواصفة القياس لا تلتقط سلوك الهدف.","عدّل المواصفة لتقيس السلوك المستهدف نفسه.",""
C084,D8,"بيانات تقدم سابقة مأخوذة في الاعتبار",تحسين جودة,monitoring,"prior_progress","prior_progress!=null","prior_progress=null","prior_progress=null","هل بيانات التقدم السابقة أُخذت في الاعتبار؟","بيانات التقدم","قواعد الاستفادة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"بيانات التقدم السابقة غير مستثمرة.","استخدم بيانات التقدم السابقة كخط أساس مبدئي.",""
C090,D2,"تعدد مصادر التقييم",تحسين جودة,evidence_link,"assessment","assessment_sources>=2","assessment=null","assessment=null","هل التقييم يستند إلى مصادر متعددة؟","قائمة مصادر التقييم","معايير التعدد","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-CF-01,secondary_synthesis,"التقييم أحادي المصدر.","أضف مصدرًا مستقلًا (ملاحظة/عينة عمل/تقرير أسرة).",""
C091,D1,"الهدف ليس عبارة عامة",أساسي,structural,"plan","goal_text!=null","goal_text=null","","هل الهدف ملموس لا عبارة عامة؟","نص الهدف","معايير التحديد","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-QF-01,secondary_synthesis,"الهدف عبارة عامة غير قابلة للتشغيل.","أعد صياغة الهدف بمكونات SMART.",""
C092,D4,"توثيق التسهيلات الاختبارية",تحسين جودة,support,"supports","supports!=null","supports=null","supports=null","هل التسهيلات الاختبارية مذكورة إذا لزمت؟","قائمة التسهيلات","معايير التسهيلات","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",منخفض,إلزامي,SRC-QF-01,secondary_synthesis,"التسهيلات الاختبارية غير مذكورة.","أضف التسهيلات الاختبارية أو وثّق عدم الحاجة.",""
C093,D7,"ربط الأهداف بالمآلات المرحلية",تحسين جودة,relationship,"age,plan","age!=null && goals_count>=1","age=null","","هل تظهر روابط prepares_for بين الأهداف والمآلات المرحلية؟","علاقات الأهداف والمآلات","إطار المآلات","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-04,internal,"الأهداف غير مربوطة بمآلات مرحلية.","أضف علاقات prepares_for مع مآلات المرحلة.",""
C094,D0,"خلو من إدراج اسم متعلم آخر",أساسي,integrity,"plan","plan!=null","plan=null","","هل يظهر في المستندات اسم متعلم آخر عن طريق الخطأ؟","المستندات","حقول الهوية","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-INT-02,internal,"اسم متعلم آخر مذكور داخل المستندات.","أزل الإشارة الخاطئة قبل المتابعة.",""
C095,D3,"خلو من محتوى مقترح دون سند",أساسي,governance,"plan","goal_text!=null","goal_text=null","","هل كل مقترح AI مسنود بمصدر داخل الحالة؟","اقتراحات AI","حقل provenance","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",حرج,إلزامي,SRC-INT-05,internal,"اقتراح AI بلا سند.","احذف الاقتراح أو زوّده بمصدر داخل الحالة.",""
C096,D0,"حداثة مستندات التقييم",تحسين جودة,integrity,"assessment","assessment!=null","assessment=null","assessment=null","هل تاريخ التقييم ضمن نافذة زمنية مقبولة؟","تاريخ التقييم","سياسة الحداثة","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-01,internal,"تاريخ التقييم قديم نسبيًا.","راجع الحاجة إلى تحديث التقييم.","النافذة الزمنية تتحدد سياسيًا."
C097,D5,"تعدد لغات المتعلم",تحسين جودة,context,"plan,assessment","assessment!=null","plan=null","","هل الوضع اللغوي للمتعلم موثق ومنعكس في الأهداف؟","حقل اللغة","الهدف والدعم","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"الوضع اللغوي للمتعلم غير مأخوذ في الاعتبار.","وثّق اللغات وانعكاسها في الأهداف والدعم.",""
C098,D8,"تعريف عتبات الإتقان زمنيًا",تحسين جودة,monitoring,"plan","goal_text!=null","goal_text=null","","هل عتبة الإتقان تتضمن استقرارًا زمنيًا (عبر جلسات)؟","مواصفة القياس","معايير الاستقرار","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-QF-01,secondary_synthesis,"عتبة الإتقان بلا شرط استقرار زمني.","أضف شرط تكرار الإتقان عبر جلسات/سياقات.",""
C099,D6,"التوازن بين المجالات النمائية",تحسين جودة,phase_fit,"plan","goals_count>=3","goals_count<3","","هل الأهداف تغطي أكثر من مجال نمائي عند الحاجة؟","توزيع الأهداف","مصفوفة المجالات","متحقق|متحقق جزئيًا|غير متحقق|يحتاج توضيحًا|غير قابل للمراجعة|غير منطبق",متوسط,إلزامي,SRC-INT-04,internal,"الأهداف مركّزة في مجال واحد.","وازن الأهداف عبر المجالات ذات الأولوية.",""
